CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
TRUE," LU RONG YUAN YU 197, ??? ? 197",Unknown,,,Fishing Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - ,"A Japanese patrol vessel sighted this fishing vessel displaying the name LU RONG YUAN YU 197 in the Convention area at 41°11.3’N, 174°20.3’W on July 15, 2020. This vessel was fishing under the name of a legally authorized vessels which was not in the Convention Area, consequently this vessel was conducting IUU fishing and did not display an IRCS.",2021-06-05 - ,Cross-listing
TRUE,ABDI BABA 1,Sharon 1,8692299,,Fishing Vessel,Purse seine,Unknown,,,143,,28.78,197401,4,Venezuela,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/Commission,2019-12 - ,Cross-listing,2008-11-24 - ,Use of fraudulent documentation,,,,,,,,,,,2008 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,ABISHAK PUTHA 3,,,,,,,4SFXXXX,417000878,,,,,,,,,,2021-06-14 - ,Cross-listing,2022-01-06 - ,Cross-listing,,,,,,,,,,,2020-08-14 - ,Cross-listing,,,,,2021-03-25 - ,Cross-listing,,,,,2020-08-14 - ,Engaged in fishing for fishery resources in the Agreement Area and  are not on the SIOFA Record of Authorized Vessels
TRUE,ABUNDANT 1,ABUNDANT 1 (YI HONG 06),,,,,,CPA 226,,,,,,,,Huang Jia Yi,Hatto Daroi,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2015-05 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2021-04-05 - ,Cross-listing
TRUE,ABUNDANT 12,ABUNDANT 12 (YI HONG 106),,,,,,CPA202,,,,,,,,Huang Jia Yi,Mendez Francisco Delos Reyes,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2015-05 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2021-04-05 - ,Cross-listing
TRUE,ABUNDANT 3,ABUNDANT 3 (YI HONG 16),,,,,,CPA201,,,,,,,,Huang Jia Yi,Huang Wen Hsin,,2015-05-01 - ,Operating in IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2015-10 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2021-04-05 - ,Cross-listing
TRUE,ABUNDANT 6,ABUNDANT 6 (YI HONG 86),,,Fishing Vessel,Longline,,CPA221,,,,,,,,Huang Jia Yi,Huang Wen Hsin,,2017-05 - ,Operating in the IOTC area without authorisation,2017-07-15 - ,Following IOTC,,,,,,,,,,,2017-05 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2021-04-05 - ,Cross-listing
TRUE,ABUNDANT 9,ABUNDANT 9 (YI HONG 116),,,,,,CPA222,,,,,,,,Huang Jia Yi,Pan Chao Mao,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2015-05 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2021-04-05 - ,Cross-listing
TRUE,ACROS NO. 2,Acros No. 2,7379345,,Fishing Vessel,,Honduras,,,284,343,48.24,197403,3.61,"Shizuoka, Shizuoka, Kanasashi Heavy Industries Co Ltd (Shimizu, Shizuoka , Japan), Japan","Infitco SA, Infitco Ltd","Infitco SA, Infitco Ltd",In Service/commission,2019-12 - ,Cross-listing,2006-11-26 - ,Vessels greater than 24m not included in ICCAT Record of Vessels. Seen fishing in the MED during closed season,,,,,,,,,,,2006-11 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,AL'AMIR MUHAMMAD,AL'AMIR MUHAMMAD,,,Fishing Vessel,,Egypt,,,,,,,,,,,,2019-12 - ,Cross-listing,,,,,,,,,,,,,2018-07 - ,Cross-listing,,,,,,,2018-07 - ,IUU fishing in the Strait of Sicily,,,2019 - ,Cross-listing
